annual_spend,freq_per_month,true_cluster
1532.1775604134784,4.506050916803188,0
5433.04241550921,8.367964604923177,2
6770.758686411433,1.0636743363058545,1
1794.009590679399,2.3257493274930443,0
8758.067638652537,2.4884269256649856,1
7142.537882668681,2.244702969531907,1
3648.556446250601,9.686098216877454,2
4675.479995169583,7.038872579244152,2
6249.566384119289,2.0456569664475173,1
4447.7827838519115,9.349697586190292,2
8596.31670541007,1.7133803439258584,1
1545.4617696411967,3.6302559389917843,0
7515.861509451074,1.9518879681766501,1
4179.8372359669775,9.59511522853613,2
968.4441475401891,2.8718982704457936,0
1973.6083414113318,3.285971407742527,0
7605.0685028661455,2.695842238615225,1
5207.535648213831,10.631893318914356,2
4399.8214985447485,8.949271890812462,2
1753.2685396993652,4.026030903481224,0
7749.305729676883,2.0601356962039357,1
7625.958785096803,2.0108808731899876,1
9094.227298231615,2.328332800095532,1
8400.218503378332,2.214596131370614,1
1330.3717388514951,3.7813802936264507,0
4144.058757508265,9.174328800709068,2
3318.695300441176,10.94481899221325,2
7091.0409914120155,2.4581199622121632,1
1586.1379316954617,3.5344625620309396,0
6355.043868770678,2.3536853355381817,1
9047.015950840441,1.6442952996365872,1
952.0459939636011,3.3565617454022507,0
3557.7823004050474,9.574225491655044,2
7797.768298279803,2.4371756327931897,1
4312.287109046981,10.12615414711315,2
7438.367034561352,1.6244065665071648,1
6964.613730575619,2.1904081006827205,1
1518.0328318744964,3.594662515795199,0
1366.1698488978302,3.3644546833020716,0
1634.3730405941658,5.276532866105887,0
1876.5442946205799,4.16596226882411,0
2059.2540795854893,3.2249826328619546,0
9656.474667962504,2.0182462850697998,1
3020.019604815925,8.171539234754436,2
4413.622784089335,8.326263975107956,2
9138.879070473637,1.0411219793572801,1
5972.430537060056,1.9890987528886093,1
1060.1384906176077,4.337209177390749,0
3851.6596381694344,8.012276284143404,2
1606.144788905749,4.474137871742382,0
2627.26946356413,3.1502181854139275,0
3726.8873890078426,8.473268062915617,2
1308.8217747660422,3.650390329929784,0
5710.749248838254,9.296336279215833,2
8136.955472380386,1.9281013246910566,1
7625.933983563787,2.059528826228149,1
