date,ticker,close,volume
2022-01-03,000001,50.15,2484405
2022-01-04,000001,51.18,9222403
2022-01-05,000001,52.25,6853461
2022-01-06,000001,51.89,3832983
2022-01-07,000001,53.11,3701626
2022-01-10,000001,53.03,7662231
2022-01-11,000001,52.97,1606745
2022-01-12,000001,51.61,6118729
2022-01-13,000001,52.07,5527056
2022-01-14,000001,53.11,4491838
2022-01-17,000001,51.96,9829778
2022-01-18,000001,51.88,1556209
2022-01-19,000001,51.76,5668302
2022-01-20,000001,52.44,4449376
2022-01-21,000001,52.51,3574580
2022-01-24,000001,52.43,4419595
2022-01-25,000001,53.17,8329820
2022-01-26,000001,53.39,2924149
2022-01-27,000001,52.27,2094020
2022-01-28,000001,52.84,1570810
2022-01-31,000001,53.2,1020737
2022-02-01,000001,53.83,8008169
2022-02-02,000001,55.35,4420006
2022-02-03,000001,55.91,1086107
2022-02-04,000001,56.75,2844789
2022-02-07,000001,56.16,5730964
2022-02-08,000001,56.61,9237830
2022-02-09,000001,55.26,8926399
2022-02-10,000001,55.71,4283812
2022-02-11,000001,55.98,2314638
2022-02-14,000001,55.87,9891087
2022-02-15,000001,54.56,1341845
2022-02-16,000001,53.96,5302405
2022-02-17,000001,52.98,7604224
2022-02-18,000001,53.5,8958110
2022-02-21,000001,52.2,9621746
2022-02-22,000001,52.75,8781930
2022-02-23,000001,54.26,9334229
2022-02-24,000001,55.04,1538112
2022-02-25,000001,54.84,1298367
2022-02-28,000001,54.17,7615170
2022-03-01,000001,54.79,7741566
2022-03-02,000001,54.5,8075963
2022-03-03,000001,53.58,1838371
2022-03-04,000001,54.75,5966962
2022-03-07,000001,54.83,1818217
2022-03-08,000001,56.21,5643876
2022-03-09,000001,57.66,7632296
2022-03-10,000001,58.24,7371360
2022-03-11,000001,59.43,3471466
2022-03-14,000001,59.62,4770812
2022-03-15,000001,60.8,4389726
2022-03-16,000001,59.51,3047491
2022-03-17,000001,60.24,6373197
2022-03-18,000001,59.99,9326163
2022-03-21,000001,59.62,7473114
2022-03-22,000001,59.88,2826996
2022-03-23,000001,61.29,2580861
2022-03-24,000001,61.09,9626115
2022-03-25,000001,61.82,3413564
2022-03-28,000001,62.81,8146361
2022-03-29,000001,62.42,4085213
2022-03-30,000001,63.85,5833305
2022-03-31,000001,64.19,6688182
2022-04-01,000001,64.32,1276051
2022-04-04,000001,64.88,9504224
2022-04-05,000001,65.34,6936454
2022-04-06,000001,64.56,1074253
2022-04-07,000001,63.74,3790552
2022-04-08,000001,64.19,6587151
2022-04-11,000001,63.41,5419577
2022-04-12,000001,63.61,4681068
2022-04-13,000001,65.4,3940952
2022-04-14,000001,65.13,9655855
2022-04-15,000001,63.73,6576406
2022-04-18,000001,62.81,9015557
2022-04-19,000001,63.58,9215563
2022-04-20,000001,65.18,3143926
2022-04-21,000001,67.13,5341373
2022-04-22,000001,68.76,3160155
2022-04-25,000001,69.24,8332661
2022-04-26,000001,70.68,6327797
2022-04-27,000001,70.98,5008483
2022-04-28,000001,68.99,2793923
2022-04-29,000001,68.66,5307721
2022-05-02,000001,70.12,3590119
2022-05-03,000001,71.99,7465442
2022-05-04,000001,71.95,4340520
2022-05-05,000001,70.56,4130827
2022-05-06,000001,70.41,7879157
2022-05-09,000001,72.29,6537928
2022-05-10,000001,72.71,3712944
2022-05-11,000001,72.71,1897200
2022-05-12,000001,74.6,3940775
2022-05-13,000001,75.4,5295794
2022-05-16,000001,75.81,7240596
